classification_id,user_name,user_id,user_ip,workflow_id,workflow_name,workflow_version,created_at,gold_standard,expert,metadata,annotations,subject_data,subject_ids
89325877,knowledgewithin,1665115,78d46b00d31b99114c3b,5951,Periodic Classification*,8.9,2018-02-08 17:27:35 UTC,,,"{""session"":""54f76e6deea606f0047c045a22d869b493fd062a989a57fa711f482444787dbd"",""viewport"":{""width"":1550,""height"":898},""started_at"":""2018-02-08T17:27:34.412Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:58.0) Gecko/20100101 Firefox/58.0"",""utc_offset"":""18000"",""finished_at"":""2018-02-08T17:27:36.996Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":600,""clientHeight"":386,""naturalWidth"":600,""naturalHeight"":386}]}","[{""task"":""T0"",""task_label"":""What type of periodic star is this?"",""value"":""Rotating""}]","{""18076506"":{""retired"":null,""Filename"":""low-poly-lion-by-lisa-dutra.jpg""}}",18076506
98118966,aarozoon,562290,ffb214cd0eb405d14c5b,4500,Periodic vs Non-Periodic,29.24,2018-03-21 14:43:05 UTC,,,"{""session"":""90cc978742e87d5d9fe3124cf632668944222fd2b51113bd17b72a6eddca30a6"",""viewport"":{""width"":1562,""height"":780},""started_at"":""2018-03-21T14:42:56.780Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.162 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2018-03-21T14:43:05.028Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":720,""clientHeight"":360,""naturalWidth"":720,""naturalHeight"":360}]}","[{""task"":""T0"",""task_label"":""Is this source periodic or nonperiodic?"",""value"":""Periodic\n""}]","{""19261945"":{""retired"":null,""Filename"":""figs_v01__1000102010005018.png""}}",19261945
98361756,aarozoon,562290,0e25f65e10bd5ef554e3,4500,Periodic vs Non-Periodic,29.24,2018-03-22 18:14:46 UTC,,,"{""session"":""5d22f3fa701d3857f8c848f865154465da6b250b410e7b1badd870d637c14fb3"",""viewport"":{""width"":1743,""height"":846},""started_at"":""2018-03-22T18:14:42.795Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.162 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2018-03-22T18:14:46.807Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":720,""clientHeight"":360,""naturalWidth"":720,""naturalHeight"":360}]}","[{""task"":""T0"",""task_label"":""Is this source periodic or nonperiodic?"",""value"":""Non-periodic""}]","{""19264901"":{""retired"":null,""Filename"":""figs_v01____35782020001711.png""}}",19264901
98361794,aarozoon,562290,0e25f65e10bd5ef554e3,4500,Periodic vs Non-Periodic,29.24,2018-03-22 18:15:01 UTC,,,"{""session"":""5d22f3fa701d3857f8c848f865154465da6b250b410e7b1badd870d637c14fb3"",""viewport"":{""width"":1743,""height"":846},""started_at"":""2018-03-22T18:14:46.824Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.162 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2018-03-22T18:15:00.702Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":720,""clientHeight"":360,""naturalWidth"":720,""naturalHeight"":360}]}","[{""task"":""T0"",""task_label"":""Is this source periodic or nonperiodic?"",""value"":""Non-periodic""}]","{""19263017"":{""retired"":null,""Filename"":""figs_v01__1010032025000695.png""}}",19263017
98361802,aarozoon,562290,0e25f65e10bd5ef554e3,4500,Periodic vs Non-Periodic,29.24,2018-03-22 18:15:03 UTC,,,"{""session"":""5d22f3fa701d3857f8c848f865154465da6b250b410e7b1badd870d637c14fb3"",""viewport"":{""width"":1743,""height"":846},""started_at"":""2018-03-22T18:15:00.719Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.162 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2018-03-22T18:15:02.894Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":720,""clientHeight"":360,""naturalWidth"":720,""naturalHeight"":360}]}","[{""task"":""T0"",""task_label"":""Is this source periodic or nonperiodic?"",""value"":""Non-periodic""}]","{""19264032"":{""retired"":null,""Filename"":""figs_v01___227202090000435.png""}}",19264032
98361810,aarozoon,562290,0e25f65e10bd5ef554e3,4500,Periodic vs Non-Periodic,29.24,2018-03-22 18:15:07 UTC,,,"{""session"":""5d22f3fa701d3857f8c848f865154465da6b250b410e7b1badd870d637c14fb3"",""viewport"":{""width"":1743,""height"":846},""started_at"":""2018-03-22T18:15:02.908Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.162 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2018-03-22T18:15:07.428Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":720,""clientHeight"":360,""naturalWidth"":720,""naturalHeight"":360}]}","[{""task"":""T0"",""task_label"":""Is this source periodic or nonperiodic?"",""value"":""Periodic\n""}]","{""19264549"":{""retired"":null,""Filename"":""figs_v01____35782020009323.png""}}",19264549
98361824,aarozoon,562290,0e25f65e10bd5ef554e3,4500,Periodic vs Non-Periodic,29.24,2018-03-22 18:15:14 UTC,,,"{""session"":""5d22f3fa701d3857f8c848f865154465da6b250b410e7b1badd870d637c14fb3"",""viewport"":{""width"":1743,""height"":846},""started_at"":""2018-03-22T18:15:07.448Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.162 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2018-03-22T18:15:13.851Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":720,""clientHeight"":360,""naturalWidth"":720,""naturalHeight"":360}]}","[{""task"":""T0"",""task_label"":""Is this source periodic or nonperiodic?"",""value"":""Non-periodic""}]","{""19263088"":{""retired"":null,""Filename"":""figs_v01__1010032020000892.png""}}",19263088
98361836,knowledgewithin,1665115,b5c33f0cb706f46bfb8c,4500,Periodic vs Non-Periodic,29.24,2018-03-22 18:15:16 UTC,,,"{""session"":""a076860405a734c1002a850ca81d5c972491173b7829bc312c749cfb2fee2d8f"",""viewport"":{""width"":2560,""height"":1313},""started_at"":""2018-03-22T18:15:10.566Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0"",""utc_offset"":""14400"",""finished_at"":""2018-03-22T18:15:17.512Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":720,""clientHeight"":360,""naturalWidth"":720,""naturalHeight"":360}]}","[{""task"":""T0"",""task_label"":""Is this source periodic or nonperiodic?"",""value"":""Non-periodic""}]","{""19262634"":{""retired"":null,""Filename"":""figs_v01__1010032025000243.png""}}",19262634
98361839,aarozoon,562290,0e25f65e10bd5ef554e3,4500,Periodic vs Non-Periodic,29.24,2018-03-22 18:15:18 UTC,,,"{""session"":""5d22f3fa701d3857f8c848f865154465da6b250b410e7b1badd870d637c14fb3"",""viewport"":{""width"":1743,""height"":846},""started_at"":""2018-03-22T18:15:13.865Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.162 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2018-03-22T18:15:17.980Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":720,""clientHeight"":360,""naturalWidth"":720,""naturalHeight"":360}]}","[{""task"":""T0"",""task_label"":""Is this source periodic or nonperiodic?"",""value"":""Periodic\n""}]","{""19262870"":{""retired"":null,""Filename"":""figs_v01__1000432060036093.png""}}",19262870
98361849,knowledgewithin,1665115,b5c33f0cb706f46bfb8c,4500,Periodic vs Non-Periodic,29.24,2018-03-22 18:15:20 UTC,,,"{""session"":""a076860405a734c1002a850ca81d5c972491173b7829bc312c749cfb2fee2d8f"",""viewport"":{""width"":2560,""height"":1313},""started_at"":""2018-03-22T18:15:17.526Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0"",""utc_offset"":""14400"",""finished_at"":""2018-03-22T18:15:20.772Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":720,""clientHeight"":360,""naturalWidth"":720,""naturalHeight"":360}]}","[{""task"":""T0"",""task_label"":""Is this source periodic or nonperiodic?"",""value"":""Periodic\n""}]","{""19262815"":{""retired"":null,""Filename"":""figs_v01____45882070002994.png""}}",19262815
